Year,Units,Total,Disaggregation,NDP 5 Target,Region,Value
2010,%,Total,,,,76.2
2010,%,,Total F,,,79.4
2010,%,,Total M,,,73.7
2010,%,,Urban,,,70.0
2010,%,,Rural,,,81.0
2016,%,Total,,,,79.8
2016,%,,Total F,,,82.4
2016,%,,Total M,,,77.8
2016,%,,Urban,,,70.4
2016,%,,Rural,,,90.9
2016,%,Total,,,Karas,82.0
2016,%,Total,,,Erongo,67.0
2016,%,Total,,,Hardap,74.8
2016,%,Total,,,Kavango East,95.6
2016,%,Total,,,Kavango West,97.0
2016,%,Total,,,Khomas,67.4
2016,%,Total,,,Kunene,83.8
2016,%,Total,,,Ohangwena,88.7
2016,%,Total,,,Omaheke,60.2
2016,%,Total,,,Omusati,94.4
2016,%,Total,,,Oshana,77.0
2016,%,Total,,,Oshikoto,89.5
2016,%,Total,,,Otjozondjupa,78.5
2016,%,Total,,,Zambezi,99.4
2021,%,,,NDP5 Target,,88.0
