Year,Units,Total,Disaggregation,Region,NDP 5 Target,GeoCode,Value
2000,per 1000,Total,,,,,62.0
2000,per 1000,,Female,,,,54.0
2000,per 1000,,Male,,,,66.5
2000,per 1000,,Urban,,,,49.5
2000,per 1000,,Rural,,,,66.1
2006,per 1000,Total,,,,,69.0
2006,per 1000,,Female,,,,58.0
2006,per 1000,,Male,,,,79.0
2006,per 1000,,Urban,,,,60.0
2006,per 1000,,Rural,,,,76.0
2006,per 1000,Total,,!Karas,,1.0,59.0
2006,per 1000,Total,,Erongo,,2.0,65.0
2006,per 1000,Total,,Hardap,,3.0,73.0
2006,per 1000,Total,,Kavango East,,4.0,67.0
2006,per 1000,Total,,Kavango West,,5.0,67.0
2006,per 1000,Total,,Khomas,,6.0,52.0
2006,per 1000,Total,,Kunene,,7.0,49.0
2006,per 1000,Total,,Ohangwena,,8.0,95.0
2006,per 1000,Total,,Omaheke,,9.0,63.0
2006,per 1000,Total,,Omusati,,10.0,76.0
2006,per 1000,Total,,Oshana,,11.0,74.0
2006,per 1000,Total,,Oshikoto,,12.0,64.0
2006,per 1000,Total,,Otjozondjupa,,13.0,67.0
2006,per 1000,Total,,Zambezi,,14.0,93.0
2013,per 1000,,Female,,,,54.0
2013,per 1000,,Male,,,,64.0
2013,per 1000,,Urban,,,,54.0
2013,per 1000,,Rural,,,,64.0
2013,per 1000,Total,,,,,54.0
2013,per 1000,Total,,!Karas,,1.0,44.0
2013,per 1000,Total,,Erongo,,2.0,53.0
2013,per 1000,Total,,Hardap,,3.0,38.0
2013,per 1000,Total,,Kavango East,,4.0,97.0
2013,per 1000,Total,,Kavango West,,5.0,97.0
2013,per 1000,Total,,Khomas,,6.0,41.0
2013,per 1000,Total,,Kunene,,7.0,45.0
2013,per 1000,Total,,Ohangwena,,8.0,79.0
2013,per 1000,Total,,Omaheke,,9.0,46.0
2013,per 1000,Total,,Omusati,,10.0,45.0
2013,per 1000,Total,,Oshana,,11.0,46.0
2013,per 1000,Total,,Oshikoto,,12.0,68.0
2013,per 1000,Total,,Otjozondjupa,,13.0,51.0
2013,per 1000,Total,,Zambezi,,14.0,73.0
2019,,,,,NDP 5 Target,,48.0
