Year,Units,Disaggregation,Region,Value
2012,%,Electricity,,71.7
2012,%,Water,,97.4
2012,%,Sanitation for learners,,90.8
2012,%,,!Karas,98.0
2012,%,,!Karas,100.0
2012,%,,!Karas,100.0
2012,%,,Erongo,90.9
2012,%,,Erongo,97.0
2012,%,,Erongo,92.4
2012,%,,Hardap,98.2
2012,%,,Hardap,100.0
2012,%,,Hardap,100.0
2012,%,,Khomas,98.0
2012,%,,Khomas,100.0
2012,%,,Khomas,100.0
2012,%,,Kunene,71.7
2012,%,,Kunene,91.7
2012,%,,Kunene,80.0
2012,%,,Ohangwena,44.0
2012,%,,Ohangwena,68.7
2012,%,,Ohangwena,82.3
2012,%,,Omaheke,92.9
2012,%,,Omaheke,100.0
2012,%,,Omaheke,95.2
2012,%,,Omusati,49.6
2012,%,,Omusati,93.1
2012,%,,Omusati,78.8
2012,%,,Oshana,64.2
2012,%,,Oshana,97.8
2012,%,,Oshana,95.6
2012,%,,Oshikoto,52.0
2012,%,,Oshikoto,85.5
2012,%,,Oshikoto,65.0
2012,%,,Otjozondjupa,84.7
2012,%,,Otjozondjupa,97.2
2012,%,,Otjozondjupa,91.7
2012,%,,Zambezi,57.8
2012,%,,Zambezi,76.5
2012,%,,Zambezi,70.6
2013,%,Electricity,,71.3
2013,%,Water,,96.8
2013,%,Sanitation for learners,,90.5
2013,%,,!Karas,100.0
2013,%,,!Karas,100.0
2013,%,,!Karas,100.0
2013,%,,Erongo,93.8
2013,%,,Erongo,100.0
2013,%,,Erongo,96.9
2013,%,,Hardap,96.4
2013,%,,Hardap,98.2
2013,%,,Hardap,100.0
2013,%,,Khomas,95.1
2013,%,,Khomas,97.1
2013,%,,Khomas,98.1
2013,%,,Kunene,68.3
2013,%,,Kunene,87.3
2013,%,,Kunene,76.2
2013,%,,Ohangwena,44.0
2013,%,,Ohangwena,68.7
2013,%,,Ohangwena,82.3
2013,%,,Omaheke,92.9
2013,%,,Omaheke,100.0
2013,%,,Omaheke,95.2
2013,%,,Omusati,49.5
2013,%,,Omusati,92.7
2013,%,,Omusati,78.5
2013,%,,Oshana,63.3
2013,%,,Oshana,96.4
2013,%,,Oshana,95.7
2013,%,,Oshikoto,52.0
2013,%,,Oshikoto,84.7
2013,%,,Oshikoto,64.4
2013,%,,Otjozondjupa,84.7
2013,%,,Otjozondjupa,97.2
2013,%,,Otjozondjupa,91.7
2013,%,,Zambezi,57.8
2013,%,,Zambezi,76.5
2013,%,,Zambezi,70.6
2014,%,Electricity,,71.1
2014,%,Water,,81.3
2014,%,Sanitation for learners,,79.5
2014,%,,!Karas,100.0
2014,%,,!Karas,100.0
2014,%,,!Karas,98.0
2014,%,,Erongo,95.1
2014,%,,Erongo,95.1
2014,%,,Erongo,96.7
2014,%,,Hardap,98.2
2014,%,,Hardap,98.2
2014,%,,Hardap,100.0
2014,%,,Kavango East,64.7
2014,%,,Kavango East,58.2
2014,%,,Kavango East,61.4
2014,%,,Kavango West,44.8
2014,%,,Kavango West,58.7
2014,%,,Kavango West,53.5
2014,%,,Khomas,91.5
2014,%,,Khomas,92.5
2014,%,,Khomas,96.2
2014,%,,Kunene,73.0
2014,%,,Kunene,88.9
2014,%,,Kunene,96.8
2014,%,,Ohangwena,65.5
2014,%,,Ohangwena,80.3
2014,%,,Ohangwena,92.0
2014,%,,Omaheke,88.4
2014,%,,Omaheke,90.7
2014,%,,Omaheke,100.0
2014,%,,Omusati,75.2
2014,%,,Omusati,93.1
2014,%,,Omusati,86.5
2014,%,,Oshana,89.1
2014,%,,Oshana,97.1
2014,%,,Oshana,96.4
2014,%,,Oshikoto,67.5
2014,%,,Oshikoto,90.1
2014,%,,Oshikoto,79.8
2014,%,,Otjozondjupa,93.2
2014,%,,Otjozondjupa,94.5
2014,%,,Otjozondjupa,98.6
2014,%,,Zambezi,70.8
2014,%,,Zambezi,77.4
2014,%,,Zambezi,74.5
2015,%,Electricity,,78.0
2015,%,Water,,86.6
2015,%,Sanitation for learners,,82.4
2015,%,,!Karas,96.0
2015,%,,!Karas,94.0
2015,%,,!Karas,98.0
2015,%,,Erongo,95.2
2015,%,,Erongo,98.4
2015,%,,Erongo,93.7
2015,%,,Hardap,96.5
2015,%,,Hardap,100.0
2015,%,,Hardap,96.5
2015,%,,Kavango East,68.4
2015,%,,Kavango East,67.1
2015,%,,Kavango East,57.0
2015,%,,Kavango West,51.7
2015,%,,Kavango West,66.5
2015,%,,Kavango West,56.3
2015,%,,Khomas,96.3
2015,%,,Khomas,97.2
2015,%,,Khomas,94.4
2015,%,,Kunene,77.9
2015,%,,Kunene,86.8
2015,%,,Kunene,91.2
2015,%,,Ohangwena,74.6
2015,%,,Ohangwena,84.9
2015,%,,Ohangwena,91.7
2015,%,,Omaheke,97.7
2015,%,,Omaheke,97.7
2015,%,,Omaheke,100.0
2015,%,,Omusati,82.2
2015,%,,Omusati,94.6
2015,%,,Omusati,88.0
2015,%,,Oshana,93.5
2015,%,,Oshana,98.6
2015,%,,Oshana,92.8
2015,%,,Oshikoto,64.2
2015,%,,Oshikoto,88.7
2015,%,,Oshikoto,76.4
2015,%,,Otjozondjupa,90.8
2015,%,,Otjozondjupa,96.1
2015,%,,Otjozondjupa,97.4
2015,%,,Zambezi,75.7
2015,%,,Zambezi,72.9
2015,%,,Zambezi,68.2
2016,%,Electricity,,79.8
2016,%,Water,,86.8
2016,%,Sanitation for learners,,83.5
2016,%,,!Karas,100.0
2016,%,,!Karas,100.0
2016,%,,!Karas,96.2
2016,%,,Erongo,98.5
2016,%,,Erongo,98.5
2016,%,,Erongo,96.9
2016,%,,Hardap,100.0
2016,%,,Hardap,100.0
2016,%,,Hardap,98.3
2016,%,,Kavango East,68.7
2016,%,,Kavango East,64.4
2016,%,,Kavango East,58.3
2016,%,,Kavango West,50.6
2016,%,,Kavango West,67.6
2016,%,,Kavango West,55.7
2016,%,,Khomas,95.7
2016,%,,Khomas,99.1
2016,%,,Khomas,95.7
2016,%,,Kunene,80.8
2016,%,,Kunene,90.4
2016,%,,Kunene,84.9
2016,%,,Ohangwena,76.3
2016,%,,Ohangwena,85.2
2016,%,,Ohangwena,93.8
2016,%,,Omaheke,95.5
2016,%,,Omaheke,95.5
2016,%,,Omaheke,95.5
2016,%,,Omusati,81.1
2016,%,,Omusati,92.1
2016,%,,Omusati,87.9
2016,%,,Oshana,95.6
2016,%,,Oshana,99.3
2016,%,,Oshana,94.1
2016,%,,Oshikoto,71.7
2016,%,,Oshikoto,88.6
2016,%,,Oshikoto,78.5
2016,%,,Otjozondjupa,96.2
2016,%,,Otjozondjupa,97.4
2016,%,,Otjozondjupa,96.2
2016,%,,Zambezi,78.0
2016,%,,Zambezi,75.2
2016,%,,Zambezi,78.0
2017,%,Electricity,,81.7
2017,%,Water,,88.6
2017,%,Sanitation for learners,,86.7
2017,%,,!Karas,100.0
2017,%,,!Karas,100.0
2017,%,,!Karas,98.2
2017,%,,Erongo,100.0
2017,%,,Erongo,100.0
2017,%,,Erongo,98.6
2017,%,,Hardap,100.0
2017,%,,Hardap,100.0
2017,%,,Hardap,100.0
2017,%,,Kavango East,71.3
2017,%,,Kavango East,67.1
2017,%,,Kavango East,61.6
2017,%,,Kavango West,54.0
2017,%,,Kavango West,73.3
2017,%,,Kavango West,60.2
2017,%,,Khomas,95.9
2017,%,,Khomas,99.2
2017,%,,Khomas,98.3
2017,%,,Kunene,89.6
2017,%,,Kunene,92.5
2017,%,,Kunene,94.0
2017,%,,Ohangwena,77.9
2017,%,,Ohangwena,85.5
2017,%,,Ohangwena,94.7
2017,%,,Omaheke,95.5
2017,%,,Omaheke,95.5
2017,%,,Omaheke,97.7
2017,%,,Omusati,82.6
2017,%,,Omusati,94.3
2017,%,,Omusati,92.6
2017,%,,Oshana,97.8
2017,%,,Oshana,99.3
2017,%,,Oshana,96.4
2017,%,,Oshikoto,72.6
2017,%,,Oshikoto,90.4
2017,%,,Oshikoto,82.2
2017,%,,Otjozondjupa,96.2
2017,%,,Otjozondjupa,97.5
2017,%,,Otjozondjupa,97.5
2017,%,,Zambezi,79.5
2017,%,,Zambezi,78.6
2017,%,,Zambezi,79.5
