Year,Units,Total,Value
2006,Million USD (constant 2016),Total,0.00626
2007,Million USD (constant 2016),Total,0.31656999999999996
2008,Million USD (constant 2016),Total,0.48968999999999996
2009,Million USD (constant 2016),Total,0.6843899999999999
2010,Million USD (constant 2016),Total,0.40198
2011,Million USD (constant 2016),Total,0.9733799999999999
2012,Million USD (constant 2016),Total,0.74963
2013,Million USD (constant 2016),Total,1.2348
2014,Million USD (constant 2016),Total,1.37341
2015,Million USD (constant 2016),Total,1.30711
2016,Million USD (constant 2016),Total,0.5170600000000001
