Year,Units,Total,Disaggregation,NDP 5 Targets,Region,GeoCode,Value
2010,%,Total,,,,,83.7
2010,%,,Urban,,,,99.0
2010,%,,Rural,,,,71.9
2010,%,,,,!Karas,1.0,94.7
2010,%,,,,Erongo,2.0,98.6
2010,%,,,,Hardap,3.0,95.4
2010,%,,,,Kavango East,4.0,76.7
2010,%,,,,Kavango West,5.0,76.7
2010,%,,,,Khomas,6.0,99.3
2010,%,,,,Kunene,7.0,83.2
2010,%,,,,Ohangwena,8.0,48.9
2010,%,,,,Omaheke,9.0,97.7
2010,%,,,,Omusati,10.0,55.4
2010,%,,,,Oshana,11.0,91.6
2010,%,,,,Oshikoto,12.0,77.4
2010,%,,,,Otjozondjupa,13.0,98.0
2010,%,,,,Zambezi,14.0,80.6
2011,%,Total,,,,,80.0
2011,%,,Urban,,,,97.7
2011,%,,Rural,,,,62.8
2011,%,,,,!Karas,1.0,92.4
2011,%,,,,Erongo,2.0,96.3
2011,%,,,,Hardap,3.0,93.3
2011,%,,,,Kavango East,4.0,66.1
2011,%,,,,Kavango West,5.0,66.1
2011,%,,,,Khomas,6.0,98.9
2011,%,,,,Kunene,7.0,67.1
2011,%,,,,Ohangwena,8.0,56.4
2011,%,,,,Omaheke,9.0,85.1
2011,%,,,,Omusati,10.0,51.6
2011,%,,,,Oshana,11.0,84.2
2011,%,,,,Oshikoto,12.0,69.7
2011,%,,,,Otjozondjupa,13.0,94.5
2011,%,,,,Zambezi,14.0,73.2
2016,%,Total,,,,,92.9
2016,%,,Urban,,,,99.4
2016,%,,Rural,,,,85.0
2016,%,,,,!Karas,1.0,97.4
2016,%,,,,Erongo,2.0,97.5
2016,%,,,,Hardap,3.0,97.6
2016,%,,,,Kavango East,4.0,85.9
2016,%,,,,Kavango West,5.0,76.3
2016,%,,,,Khomas,6.0,99.6
2016,%,,,,Kunene,7.0,74.6
2016,%,,,,Ohangwena,8.0,86.2
2016,%,,,,Omaheke,9.0,96.0
2016,%,,,,Omusati,10.0,85.6
2016,%,,,,Oshana,11.0,98.4
2016,%,,,,Oshikoto,12.0,93.0
2016,%,,,,Otjozondjupa,13.0,98.3
2016,%,,,,Zambezi,14.0,85.9
2021,%,,,NDP5 Target Rural,,,95.5
2021,%,,,NDP5 Target Urban,,,100.0
