Year,Units,Total,Disaggregation,NDP5 Targets,Region,GeoCode,Value
2010,%,Total,,,,,49.1
2010,%,,Urban,,,,85.1
2010,%,,Rural,,,,21.5
2010,%,,,,!Karas,1.0,63.0
2010,%,,,,Erongo,2.0,89.5
2010,%,,,,Hardap,3.0,55.3
2010,%,,,,Kavango East,4.0,16.5
2010,%,,,,Kavango West,5.0,16.5
2010,%,,,,Khomas,6.0,86.7
2010,%,,,,Kunene,7.0,45.3
2010,%,,,,Ohangwena,8.0,17.6
2010,%,,,,Omaheke,9.0,32.0
2010,%,,,,Omusati,10.0,22.7
2010,%,,,,Oshana,11.0,54.3
2010,%,,,,Oshikoto,12.0,28.6
2010,%,,,,Otjozondjupa,13.0,58.1
2010,%,,,,Zambezi,14.0,13.9
2011,%,Total,,,,,48.8
2011,%,,Urban,,,,75.9
2011,%,,Rural,,,,22.6
2011,%,,,,!Karas,1.0,72.3
2011,%,,,,Erongo,2.0,88.5
2011,%,,,,Hardap,3.0,58.4
2011,%,,,,Kavango East,4.0,22.8
2011,%,,,,Kavango West,5.0,22.8
2011,%,,,,Khomas,6.0,79.3
2011,%,,,,Kunene,7.0,34.4
2011,%,,,,Ohangwena,8.0,17.7
2011,%,,,,Omaheke,9.0,37.3
2011,%,,,,Omusati,10.0,20.0
2011,%,,,,Oshana,11.0,49.7
2011,%,,,,Oshikoto,12.0,28.9
2011,%,,,,Otjozondjupa,13.0,58.2
2011,%,,,,Zambezi,14.0,19.9
2016,%,Total,,,,,53.3
2016,%,,Urban,,,,72.7
2016,%,,Rural,,,,29.2
2016,%,,,,!Karas,1.0,72.0
2016,%,,,,Erongo,2.0,86.3
2016,%,,,,Hardap,3.0,49.0
2016,%,,,,Kavango East,4.0,36.5
2016,%,,,,Kavango West,5.0,15.0
2016,%,,,,Khomas,6.0,74.0
2016,%,,,,Kunene,7.0,35.1
2016,%,,,,Ohangwena,8.0,27.7
2016,%,,,,Omaheke,9.0,43.3
2016,%,,,,Omusati,10.0,29.0
2016,%,,,,Oshana,11.0,72.2
2016,%,,,,Oshikoto,12.0,42.7
2016,%,,,,Otjozondjupa,13.0,59.1
2016,%,,,,Zambezi,14.0,17.7
2021,%,,,NDP5 Target Urban,,,87.0
2021,%,,,NDP Target Rural,,,40.0
