Year,Units,Total,Disaggregation,Region,Value
2010,%,Total,,,41.9
2010,%,,Urban,,77.9
2010,%,,Rural,,14.3
2010,%,,,!Karas,55.6
2010,%,,,Erongo,80.8
2010,%,,,Hardap,68.9
2010,%,,,Kavango East,22.2
2010,%,,,Kavango West,22.2
2010,%,,,Khomas,73.9
2010,%,,,Kunene,35.7
2010,%,,,Ohangwena,9.3
2010,%,,,Omaheke,31.5
2010,%,,,Omusati,12.0
2010,%,,,Oshana,29.4
2010,%,,,Oshikoto,16.5
2010,%,,,Otjozondjupa,60.3
2010,%,,,Zambezi,20.7
2011,%,Total,,,44.5
2011,%,,Urban,,71.2
2011,%,,Rural,,18.5
2011,%,,,!Karas,70.7
2011,%,,,Erongo,82.6
2011,%,,,Hardap,69.4
2011,%,,,Kavango East,24.6
2011,%,,,Kavango West,24.6
2011,%,,,Khomas,69.5
2011,%,,,Kunene,34.7
2011,%,,,Ohangwena,12.9
2011,%,,,Omaheke,38.0
2011,%,,,Omusati,11.5
2011,%,,,Oshana,34.1
2011,%,,,Oshikoto,21.9
2011,%,,,Otjozondjupa,57.9
2011,%,,,Zambezi,34.7
2016,%,Total,,,49.7
2016,%,,Urban,,69.3
2016,%,,Rural,,25.6
2016,%,,,!Karas,74.4
2016,%,,,Erongo,79.4
2016,%,,,Hardap,60.9
2016,%,,,Kavango East,31.6
2016,%,,,Kavango West,14.8
2016,%,,,Khomas,69.2
2016,%,,,Kunene,37.0
2016,%,,,Ohangwena,18.4
2016,%,,,Omaheke,56.7
2016,%,,,Omusati,17.4
2016,%,,,Oshana,49.1
2016,%,,,Oshikoto,34.3
2016,%,,,Otjozondjupa,68.2
2016,%,,,Zambezi,36.7
