Year,Units,Total,Disaggregation,Region,Value
2011,%,Total,,,16
2011,%,,Urban,,27.2
2011,%,,Rural,,5
2011,%,Total,,!Karas,26
2011,%,Total,,Erongo,32.5
2011,%,Total,,Hardap,24.7
2011,%,Total,,Kavango East,4.3
2011,%,Total,,Kavango West,4.3
2011,%,Total,,Khomas,30.6
2011,%,Total,,Kunene,8.7
2011,%,Total,,Ohangwena,5.1
2011,%,Total,,Omaheke,18.4
2011,%,Total,,Omusati,1.1
2011,%,Total,,Oshana,7.5
2011,%,Total,,Oshikoto,4.8
2011,%,Total,,Otjozondjupa,17.7
2011,%,Total,,Zambezi,13.6
2016,%,Total,,,26.6
2016,%,,Urban,,39.7
2016,%,,Rural,,10.6
2016,%,Total,,!Karas,25.2
2016,%,Total,,Erongo,43.6
2016,%,Total,,Hardap,52.8
2016,%,Total,,Kavango East,46.7
2016,%,Total,,Kavango West,13.7
2016,%,Total,,Khomas,42.3
2016,%,Total,,Kunene,22.6
2016,%,Total,,Ohangwena,4.8
2016,%,Total,,Omaheke,34.3
2016,%,Total,,Omusati,3
2016,%,Total,,Oshana,13.2
2016,%,Total,,Oshikoto,10.5
2016,%,Total,,Otjozondjupa,30.3
2016,%,Total,,Zambezi,2.7
