Year,Units,Total,Disaggregation,Value
2004,Million USD; constant 2016,,ODA,6.92238
2005,Million USD; constant 2016,,ODA,6.55863
2006,Million USD; constant 2016,,ODA,2.50609
2007,Million USD; constant 2016,,ODA,7.54669
2008,Million USD; constant 2016,,ODA,8.82542
2008,Million N$; 2013 prices,Total,,746.3147097
2008,Million N$; 2013 prices,,Government Expenditure,533.0724355
2008,Million N$; 2013 prices,,Private Expenditure,71.44087311
2008,Million N$; 2013 prices,,GEF Expenditure,86.36326966
2008,Million N$; 2013 prices,,US Gov Expenditure,22.99863269
2008,Million N$; 2013 prices,,GER Gov Expenditure,19.5116241
2008,Million N$; 2013 prices,,Other Expenditure,12.92787462
2009,Million USD; constant 2016,,ODA,1.61324
2009,Million N$; 2013 prices,Total,,830.3236634
2009,Million N$; 2013 prices,,Government Expenditure,601.1639951
2009,Million N$; 2013 prices,,Private Expenditure,75.70836957
2009,Million N$; 2013 prices,,GEF Expenditure,112.6291299
2009,Million N$; 2013 prices,,US Gov Expenditure,1.412423458
2009,Million N$; 2013 prices,,GER Gov Expenditure,28.69182149
2009,Million N$; 2013 prices,,Other Expenditure,10.71792392
2010,Million USD; constant 2016,,ODA,31.75866
2010,Million N$; 2013 prices,Total,,981.9144161
2010,Million N$; 2013 prices,,Government Expenditure,717.1898523
2010,Million N$; 2013 prices,,Private Expenditure,79.16994389
2010,Million N$; 2013 prices,,GEF Expenditure,115.2653395
2010,Million N$; 2013 prices,,US Gov Expenditure,20.59323899
2010,Million N$; 2013 prices,,GER Gov Expenditure,39.77964117
2010,Million N$; 2013 prices,,Other Expenditure,9.916400213
2011,Million USD; constant 2016,,ODA,3.38973
2011,Million N$; 2013 prices,Total,,1016.574074
2011,Million N$; 2013 prices,,Government Expenditure,765.7919916
2011,Million N$; 2013 prices,,Private Expenditure,84.77733965
2011,Million N$; 2013 prices,,GEF Expenditure,96.99034418
2011,Million N$; 2013 prices,,US Gov Expenditure,40.88852648
2011,Million N$; 2013 prices,,GER Gov Expenditure,20.37468786
2011,Million N$; 2013 prices,,Other Expenditure,7.751184316
2012,Million USD; constant 2016,,ODA,33.6875
2012,Million N$; 2013 prices,Total,,1159.56764
2012,Million N$; 2013 prices,,Government Expenditure,791.1224883
2012,Million N$; 2013 prices,,Private Expenditure,90.2211707
2012,Million N$; 2013 prices,,GEF Expenditure,92.02686475
2012,Million N$; 2013 prices,,US Gov Expenditure,158.8885333
2012,Million N$; 2013 prices,,GER Gov Expenditure,20.13883452
2012,Million N$; 2013 prices,,Other Expenditure,7.169747983
2013,Million USD; constant 2016,,ODA,34.28393
2013,Million N$; 2013 prices,Total,,1141.702524
2013,Million N$; 2013 prices,,Government Expenditure,709.9492547
2013,Million N$; 2013 prices,,Private Expenditure,92.88908139
2013,Million N$; 2013 prices,,GEF Expenditure,49.89201863
2013,Million N$; 2013 prices,,US Gov Expenditure,240.8886431
2013,Million N$; 2013 prices,,GER Gov Expenditure,15.43436599
2013,Million N$; 2013 prices,,WWF Expenditure,25.89981
2013,Million N$; 2013 prices,,Other Expenditure,6.749350154
2014,Million USD; constant 2016,,ODA,3.66849
2014,Million N$; 2013 prices,Total,,1130.892401
2014,Million N$; 2013 prices,,Government Expenditure,742.3033656
2014,Million N$; 2013 prices,,Private Expenditure,96.528697
2014,Million N$; 2013 prices,,GEF Expenditure,40.50464541
2014,Million N$; 2013 prices,,US Gov Expenditure,179.3262046
2014,Million N$; 2013 prices,,GER Gov Expenditure,42.11251699
2014,Million N$; 2013 prices,,WWF Expenditure,21.92
2014,Million N$; 2013 prices,,Other Expenditure,8.196971429
2015,Million USD; constant 2016,,ODA,14.88803
2015,Million N$; 2013 prices,Total,,1181.229984
2015,Million N$; 2013 prices,,Government Expenditure,829.1960219
2015,Million N$; 2013 prices,,Private Expenditure,98.677419
2015,Million N$; 2013 prices,,GEF Expenditure,30.48639213
2015,Million N$; 2013 prices,,US Gov Expenditure,105.0431205
2015,Million N$; 2013 prices,,GER Gov Expenditure,93.10181
2015,Million N$; 2013 prices,,WWF Expenditure,15.0754717
2015,Million N$; 2013 prices,,Other Expenditure,9.649749205
2016,Million USD; constant 2016,,ODA,28.8473
2016,Million N$; 2013 prices,Total,,1135.280165
2016,Million N$; 2013 prices,,Government Expenditure,831.2015588
2016,Million N$; 2013 prices,,Private Expenditure,100.2197358
2016,Million N$; 2013 prices,,GEF Expenditure,62.22119324
2016,Million N$; 2013 prices,,US Gov Expenditure,2.139405948
2016,Million N$; 2013 prices,,GER Gov Expenditure,116.2258282
2016,Million N$; 2013 prices,,WWF Expenditure,15.0754717
2016,Million N$; 2013 prices,,Other Expenditure,8.196971429
2017,Million N$; 2013 prices,Total,,1151.339671
2017,Million N$; 2013 prices,,Government Expenditure,830.3233202
2017,Million N$; 2013 prices,,Private Expenditure,101.2611802
2017,Million N$; 2013 prices,,GEF Expenditure,49.33429987
2017,Million N$; 2013 prices,,US Gov Expenditure,0
2017,Million N$; 2013 prices,,GER Gov Expenditure,147.1484273
2017,Million N$; 2013 prices,,WWF Expenditure,15.0754717
2017,Million N$; 2013 prices,,Other Expenditure,8.196971429
2018,Million N$; 2013 prices,Total,,1099.184019
2018,Million N$; 2013 prices,,Government Expenditure,826.8813458
