Year,Units,Disaggregation,Value
2006,t/ha,White Maize,3.526068987
2006,t/ha,Wheat,5.333470226
2007,t/ha,Millet,0.228196809
2007,t/ha,White Maize,3.993406264
2007,t/ha,Wheat,5.764044944
2008,t/ha,Millet,0.190722729
2008,t/ha,White Maize,3.699204508
2008,t/ha,Wheat,5.134233854
2009,t/ha,Millet,0.144726172
2009,t/ha,White Maize,4.467964602
2009,t/ha,Wheat,4.252377469
2010,t/ha,Millet,0.27708784
2010,t/ha,White Maize,3.805158913
2010,t/ha,Wheat,6.721382289
2011,t/ha,Millet,0.152293551
2011,t/ha,White Maize,3.027840909
2011,t/ha,Wheat,4.818334031
2012,t/ha,Millet,0.218906583
2012,t/ha,White Maize,4.566606693
2012,t/ha,Wheat,5.585205993
2013,t/ha,Millet,0.107627403
2013,t/ha,White Maize,5.061984626
2013,t/ha,Wheat,6.40406223
2014,t/ha,Millet,0.173422963
2014,t/ha,White Maize,2.895270029
2014,t/ha,Wheat,5.146496815
2015,t/ha,Millet,0.130508629
2015,t/ha,White Maize,5.816993982
2015,t/ha,Wheat,5.708661417
2016,t/ha,Millet,9.28E-02
2016,t/ha,White Maize,2.691110342
2016,t/ha,Wheat,5.493981704
2017,t/ha,Millet,0.215440662
2017,t/ha,White Maize,3.846652079
2017,t/ha,Wheat,5.361353712
