Year,Units,Disaggregation,Value
2004,Per 1000,,13.9
2004,Per 1000,Female (15-49y),16.1
2004,Per 1000,Male (15-49y),11.7
2004,Per 1000,Total (<15y),3.34
2005,Per 1000,,12.5
2005,Per 1000,Female (15-49y),14.5
2005,Per 1000,Male (15-49y),10.5
2005,Per 1000,Total (<15y),2.75
2006,Per 1000,,11.4
2006,Per 1000,Female (15-49y),13.3
2006,Per 1000,Male (15-49y),9.61
2006,Per 1000,Total (<15y),2.35
2007,Per 1000,,10.9
2007,Per 1000,Female (15-49y),12.7
2007,Per 1000,Male (15-49y),9.21
2007,Per 1000,Total (<15y),1.97
2008,Per 1000,,9.6
2008,Per 1000,Female (15-49y),11.1
2008,Per 1000,Male (15-49y),8.08
2008,Per 1000,Total (<15y),2.11
2009,Per 1000,,9.37
2009,Per 1000,Female (15-49y),10.9
2009,Per 1000,Male (15-49y),7.88
2009,Per 1000,Total (<15y),2.33
2010,Per 1000,,8.19
2010,Per 1000,Female (15-49y),9.51
2010,Per 1000,Male (15-49y),6.89
2010,Per 1000,Total (<15y),2.02
2011,Per 1000,,7.8
2011,Per 1000,Female (15-49y),9.06
2011,Per 1000,Male (15-49y),6.56
2011,Per 1000,Total (<15y),1.49
2012,Per 1000,,7
2012,Per 1000,Female (15-49y),8.12
2012,Per 1000,Male (15-49y),5.89
2012,Per 1000,Total (<15y),1.4
2013,Per 1000,,6.84
2013,Per 1000,Female (15-49y),7.94
2013,Per 1000,Male (15-49y),5.76
2013,Per 1000,Total (<15y),1.02
2014,Per 1000,,6.82
2014,Per 1000,Female (15-49y),7.93
2014,Per 1000,Male (15-49y),5.74
2014,Per 1000,Total (<15y),0.56
2015,Per 1000,,6.79
2015,Per 1000,Female (15-49y),7.89
2015,Per 1000,Male (15-49y),5.72
2015,Per 1000,Total (<15y),0.46
2016,Per 1000,,4.37
2017,Per 1000,,4
2017,Per 1000,Female (15-49y),6.7
2017,Per 1000,Male (15-49y),1.5
2020,Per 1000,NDP5 Target,2
