Year,Units,Total,Disaggregation,Value
2004,per 100 000,Total,,935
2005,per 100 000,Total,,918
2006,per 100 000,Total,,892
2007,per 100 000,Total,,833
2008,per 100 000,Total,,798
2009,per 100 000,Total,,701
2010,per 100 000,Total,,649
2011,per 100 000,Total,,610
2012,per 100 000,Total,,552
2013,per 100 000,Total,,518
2014,per 100 000,Total,,480
2015,per 100 000,Total,,495
2016,per 100 000,Total,,446
2016,per 100 000,,Female,189
2016,per 100 000,,Male,257
2017,per 100 000,Total,,423
