Year,Unit,Dissagregation,Value
2013,Number,Number of Fatalities,629
2014,Number,Number of Fatalities,674
2015,Number,Number of Fatalities,718
2016,Number,Number of Fatalities,730
2017,Number,Number of Fatalities,695
2013,per 100000,Death Rates due to road accidents,28.6
2014,per 100000,Death Rates due to road accidents,30.01
2015,per 100000,Death Rates due to road accidents,31.5
2016,per 100000,Death Rates due to road accidents,31.4
2017,per 100000,Death Rates due to road accidents,29.3
