Year,Units,Total,Disaggregation,Region,GeoCode,Value
2000,%,Total,,,,74.9
2000,%,,Currently married,,,63.5
2000,%,,Urban,,,78.3
2000,%,,Rural,,,71.5
2000,%,,,!Karas,1,81.6
2000,%,,,Erongo,2,87.4
2000,%,,,Hardap,3,74.6
2000,%,,,Kavango East,4,72.9
2000,%,,,Kavango West,5,72.9
2000,%,,,Khomas,6,71.9
2000,%,,,Kunene,7,70.4
2000,%,,,Ohangwena,8,54.8
2000,%,,,Omaheke,9,74.3
2000,%,,,Omusati,10,71.7
2000,%,,,Oshana,11,70.3
2000,%,,,Oshikoto,12,74.9
2000,%,,,Otjozondjupa,13,86.5
2000,%,,,Zambezi,14,76.2
2006,%,Total,,,,83.3
2006,%,,Currently married,,,72.8
2006,%,,sexually active unmarried,,,92.9
2006,%,,Urban,,,88.6
2006,%,,Rural,,,77
2006,%,,,!Karas,1,83.7
2006,%,,,Erongo,2,89.4
2006,%,,,Hardap,3,81.6
2006,%,,,Kavango East,4,71
2006,%,,,Kavango West,5,71
2006,%,,,Khomas,6,91.1
2006,%,,,Kunene,7,74.6
2006,%,,,Ohangwena,8,74.9
2006,%,,,Omaheke,9,82.2
2006,%,,,Omusati,10,84.2
2006,%,,,Oshana,11,84.9
2006,%,,,Oshikoto,12,81.5
2006,%,,,Otjozondjupa,13,70
2006,%,,,Zambezi,14,76.5
2013,%,Total,,,,80.4
2013,%,,Currently married,,,75
2013,%,,sexually active unmarried,,,84.1
2013,%,,Urban,,,84.8
2013,%,,Rural,,,73.9
2013,%,,,!Karas,1,86.1
2013,%,,,Erongo,2,87.9
2013,%,,,Hardap,3,77.9
2013,%,,,Kavango East,4,68.8
2013,%,,,Kavango West,5,68.8
2013,%,,,Khomas,6,85.5
2013,%,,,Kunene,7,73.8
2013,%,,,Ohangwena,8,70.7
2013,%,,,Omaheke,9,77
2013,%,,,Omusati,10,74.6
2013,%,,,Oshana,11,87.5
2013,%,,,Oshikoto,12,78.3
2013,%,,,Otjozondjupa,13,80
2013,%,,,Zambezi,14,81.1
