Year,Units,Total,Value
2006,Million USD (constant 2016),Total,0.00626
2007,Million USD (constant 2016),Total,0.31657
2008,Million USD (constant 2016),Total,0.48969
2009,Million USD (constant 2016),Total,0.68439
2010,Million USD (constant 2016),Total,0.40198
2011,Million USD (constant 2016),Total,0.97338
2012,Million USD (constant 2016),Total,0.74963
2013,Million USD (constant 2016),Total,1.2348
2014,Million USD (constant 2016),Total,1.37341
2015,Million USD (constant 2016),Total,1.30711
2016,Million USD (constant 2016),Total,0.51706
