Year,Units,Total,Disaggregation,Region,Value
2006,%,Total,,,86.976386036961
2007,%,Total,,,89.8834407121428
2008,%,Total,,,90.8065290446471
2009,%,Total,,,92.3173045772204
2010,%,Total,,,93.657122145705
2011,%,Total,,,94.3747558487782
2012,%,Total,,,93.0819140308191
2012,%,,Female,,92.4991938084489
2012,%,,Male,,94.0688148552703
2012,%,,Primary,,91.4938166590329
2012,%,,Secondary,,97.1105225138454
2012,%,,,!Karas,88.2566585956417
2012,%,,,Erongo,94.609375
2012,%,,,Hardap,92.0710059171598
2012,%,,,Khomas,95.6419711699631
2012,%,,,Kunene,90.3341288782816
2012,%,,,Ohangwena,94.1829874305759
2012,%,,,Omaheke,86.1189801699717
2012,%,,,Omusati,95.0165198237885
2012,%,,,Oshana,95.9288722508189
2012,%,,,Oshikoto,93.0203572912339
2012,%,,,Otjozondjupa,90.1140684410646
2012,%,,,Zambezi,96.4131994261119
2015,%,Total,,,87.6
2015,%,,Female,,86.5
2015,%,,Male,,89.6
2015,%,,Primary,,85.8
2015,%,,Secondary,,94
2015,%,,,!Karas,80.3046789989119
2015,%,,,Erongo,92.3757658270933
2015,%,,,Hardap,84.1772151898734
2015,%,,,Kavango East,83.5233160621762
2015,%,,,Kavango West,76.6407904022583
2015,%,,,Khomas,93.7161755862898
2015,%,,,Kunene,77.6106194690266
2015,%,,,Ohangwena,84.9198137609933
2015,%,,,Omaheke,79.2429792429792
2015,%,,,Omusati,91.1660777385159
2015,%,,,Oshana,94.3839791031781
2015,%,,,Oshikoto,85.0675428988682
2015,%,,,Otjozondjupa,87.3482428115016
2015,%,,,Zambezi,95.0093574547723
2016,%,Total,,,86.9
2016,%,,Female,,85.5
2016,%,,Male,,89.5
2016,%,,Primary,,85.1340513290559
2016,%,,Secondary,,93.4225782649942
2016,%,,,!Karas,78.6469344608879
2016,%,,,Erongo,91.7843388960205
2016,%,,,Hardap,81.9755600814664
2016,%,,,Kavango East,82.3529411764706
2016,%,,,Kavango West,73.0716253443526
2016,%,,,Khomas,93.7042459736457
2016,%,,,Kunene,77.9220779220779
2016,%,,,Ohangwena,83.7777224021929
2016,%,,,Omaheke,78.7456445993031
2016,%,,,Omusati,91.240518717886
2016,%,,,Oshana,95.4626334519573
2016,%,,,Oshikoto,82.9510441629579
2016,%,,,Otjozondjupa,88.1081081081081
2016,%,,,Zambezi,94.7176684881603
2017,%,Total,,,87.2
2017,%,,Female,,86
2017,%,,Male,,89.6
2017,%,,Primary,,85.5
2017,%,,Secondary,,93.9
2017,%,,,!Karas,79.8546209761163
2017,%,,,Erongo,89.9939722724533
2017,%,,,Hardap,80.8531746031746
2017,%,,,Kavango East,83.1225680933852
2017,%,,,Kavango West,74.5301360985094
2017,%,,,Khomas,93.7843784378438
2017,%,,,Kunene,80.6779661016949
2017,%,,,Ohangwena,83.7864077669903
2017,%,,,Omaheke,78.8221970554926
2017,%,,,Omusati,92.4469859423398
2017,%,,,Oshana,95.2673093777388
2017,%,,,Oshikoto,84.0080294412847
2017,%,,,Otjozondjupa,87.0478413068845
2017,%,,,Zambezi,95.1077460687245
