Year,Units,Disaggregation,Region,Value
2013,%,Emotional Total (Ever),,25
2013,%,Emotional Urban (Ever),,24.5
2013,%,Emotional Rural (Ever),,25.6
2013,%,Emotional Total (12months),,21
2013,%,Physical Total (Ever),,23.4
2013,%,Physical Urban (Ever),,22.7
2013,%,Physical Rural (Ever),,24.5
2013,%,Physical Total (12months),,18.7
2013,%,Sexual Total (Ever),,7.6
2013,%,Sexual Urban (Ever),,8.1
2013,%,Sexual Rural (Ever),,6.9
2013,%,Sexual Total (12months),,6.6
2013,%,,!Karas,37.9
2013,%,,Erongo,27.9
2013,%,,Hardap,31.8
2013,%,,Kavango East,50.6
2013,%,,Kavango West,50.6
2013,%,,Khomas,34.4
2013,%,,Kunene,24.8
2013,%,,Ohangwena,19.5
2013,%,,Omaheke,38.3
2013,%,,Omusati,17.1
2013,%,,Oshana,11.5
2013,%,,Oshikoto,43.2
2013,%,,Otjozondjupa,42.9
2013,%,,Zambezi,35.9
