Year,Units,Total,Region,GeoCode,Value
2000,Square Kilometer,Total,,,250.98296
2000,Square Kilometer,Total,!Karas,1,52.6449
2000,Square Kilometer,Total,Erongo,2,56.18036
2000,Square Kilometer,Total,Hardap,3,35.38556
2000,Square Kilometer,Total,Kavango East,4,18.70264
2000,Square Kilometer,Total,Kavango West,5,5.458
2000,Square Kilometer,Total,Khomas,6,3.29186
2000,Square Kilometer,Total,Kunene,7,19.23644
2000,Square Kilometer,Total,Ohangwena,8,0.01368
2000,Square Kilometer,Total,Omaheke,9,0.26092
2000,Square Kilometer,Total,Omusati,10,16.52292
2000,Square Kilometer,Total,Oshana,11,2.17818
2000,Square Kilometer,Total,Oshikoto,12,0.41372
2000,Square Kilometer,Total,Otjozondjupa,13,8.61896
2000,Square Kilometer,Total,Zambezi,14,32.07482
2001,Square Kilometer,Total,,,259.69746
2001,Square Kilometer,Total,!Karas,1,55.01954
2001,Square Kilometer,Total,Erongo,2,56.8842
2001,Square Kilometer,Total,Hardap,3,37.1599
2001,Square Kilometer,Total,Kavango East,4,19.13782
2001,Square Kilometer,Total,Kavango West,5,6.31394
2001,Square Kilometer,Total,Khomas,6,3.39684
2001,Square Kilometer,Total,Kunene,7,22.48242
2001,Square Kilometer,Total,Ohangwena,8,0.01334
2001,Square Kilometer,Total,Omaheke,9,0.24996
2001,Square Kilometer,Total,Omusati,10,16.23554
2001,Square Kilometer,Total,Oshana,11,1.63358
2001,Square Kilometer,Total,Oshikoto,12,0.24068
2001,Square Kilometer,Total,Otjozondjupa,13,9.4372
2001,Square Kilometer,Total,Zambezi,14,31.4925
2002,Square Kilometer,Total,,,258.96608
2002,Square Kilometer,Total,!Karas,1,55.28166
2002,Square Kilometer,Total,Erongo,2,56.97674
2002,Square Kilometer,Total,Hardap,3,38.32906
2002,Square Kilometer,Total,Kavango East,4,18.93516
2002,Square Kilometer,Total,Kavango West,5,6.24184
2002,Square Kilometer,Total,Khomas,6,2.7757
2002,Square Kilometer,Total,Kunene,7,22.80336
2002,Square Kilometer,Total,Ohangwena,8,0.01316
2002,Square Kilometer,Total,Omaheke,9,0.19026
2002,Square Kilometer,Total,Omusati,10,15.78706
2002,Square Kilometer,Total,Oshana,11,1.3073
2002,Square Kilometer,Total,Oshikoto,12,0.24472
2002,Square Kilometer,Total,Otjozondjupa,13,8.40472
2002,Square Kilometer,Total,Zambezi,14,31.67534
2003,Square Kilometer,Total,,,258.94778
2003,Square Kilometer,Total,!Karas,1,54.50014
2003,Square Kilometer,Total,Erongo,2,58.7124
2003,Square Kilometer,Total,Hardap,3,38.06692
2003,Square Kilometer,Total,Kavango East,4,18.99314
2003,Square Kilometer,Total,Kavango West,5,6.33146
2003,Square Kilometer,Total,Khomas,6,2.4815
2003,Square Kilometer,Total,Kunene,7,23.18974
2003,Square Kilometer,Total,Ohangwena,8,0.0147
2003,Square Kilometer,Total,Omaheke,9,0.1773
2003,Square Kilometer,Total,Omusati,10,15.37924
2003,Square Kilometer,Total,Oshana,11,1.26362
2003,Square Kilometer,Total,Oshikoto,12,0.31446
2003,Square Kilometer,Total,Otjozondjupa,13,7.98402
2003,Square Kilometer,Total,Zambezi,14,31.53914
2004,Square Kilometer,Total,,,259.65652
2004,Square Kilometer,Total,!Karas,1,53.5669
2004,Square Kilometer,Total,Erongo,2,60.29716
2004,Square Kilometer,Total,Hardap,3,37.34212
2004,Square Kilometer,Total,Kavango East,4,18.91432
2004,Square Kilometer,Total,Kavango West,5,6.35112
