Year,Units,Disaggregation,Region,Total,GeoCode,Value
2012,%,,,Total,,27.4
2012,%,,, Total Youth unemployement,,37.8
2012,%,Total Youth Female,,,,43.9
2012,%,Total Youth Male,,,,31.7
2012,%,Total Youth Urban,,,,36.1
2012,%,Total Youth Rural,,,,40
2012,%,Total Female Youth Urban,,,,42.2
2012,%,Total Female Youth Rural,,,,46.2
2012,%,Total Male Youth Urban,,,,29.9
2012,%,Total Male Youth Rural,,,,34
2012,%,Total F,,,,31.8
2012,%,Total M,,,,22.9
2012,%,Urban,,,,28.3
2012,%,Rural,,,,26.2
2012,%,,!Karas,,1,23.9
2012,%,Youth Female,!Karas,,1,39.2
2012,%,Youth Male,!Karas,,1,21.2
2012,%,Youth,!Karas,,1,31.1
2012,%,Total F,!Karas,,1,30.7
2012,%,Total M,!Karas,,1,17.6
2012,%,Youth,Erongo,,2,32.2
2012,%,Youth Female,Erongo,,2,43
2012,%,Youth Male,Erongo,,2,23.3
2012,%,,Erongo,,2,25.5
2012,%,Total F,Erongo,,2,34.5
2012,%,Total M,Erongo,,2,18.9
2012,%,,Hardap,,3,28.8
2012,%,Youth,Hardap,,3,34.9
2012,%,Total F,Hardap,,3,39
2012,%,Youth Female,Hardap,,3,46.9
2012,%,Youth Male,Hardap,,3,24.2
2012,%,Total M,Hardap,,3,21.5
2012,%,,Kavango East,,4,29.8
2012,%,Total F,Kavango East,,4,31.7
2012,%,Youth,Kavango East,,4,41.7
2012,%,Youth Female,Kavango East,,4,44.4
2012,%,Youth Male,Kavango East,,4,40.4
2012,%,Total M,Kavango East,,4,27.3
2012,%,Youth,Kavango West,,4,41.7
2012,%,,Kavango West,,5,29.8
2012,%,Youth Female,Kavango West,,5,44.4
2012,%,Youth Male,Kavango West,,5,40.4
2012,%,Total F,Kavango West,,5,31.7
2012,%,Total M,Kavango West,,5,27.3
2012,%,,Khomas,,6,26.5
2012,%,Youth,Khomas,,6,36.6
2012,%,Youth Female,Khomas,,6,42
2012,%,Youth Male,Khomas,,6,30.7
2012,%,Total F,Khomas,,6,31
2012,%,Total M,Khomas,,6,22.7
2012,%,,Kunene,,7,27
2012,%,Youth,Kunene,,7,29.7
2012,%,Total F,Kunene,,7,35.4
2012,%,Youth Female,Kunene,,7,36.7
2012,%,Youth Male,Kunene,,7,25
2012,%,Total M,Kunene,,7,20
2012,%,,Ohangwena,,8,34.6
2012,%,Youth,Ohangwena,,8,41.5
2012,%,Youth Female,Ohangwena,,8,43.7
2012,%,Youth Male,Ohangwena,,8,41.6
2012,%,Total F,Ohangwena,,8,34.9
2012,%,Total M,Ohangwena,,8,34.2
2012,%,,Omaheke,,9,34.1
2012,%,Youth Female,Omaheke,,9,59.5
2012,%,Youth Male,Omaheke,,9,30.4
2012,%,Total F,Omaheke,,9,47.1
2012,%,Youth,Omaheke,,9,42.5
2012,%,Total M,Omaheke,,9,23.6
2012,%,,Omusati,,10,28.9
2012,%,Total F,Omusati,,10,29.1
2012,%,Youth Female,Omusati,,10,47.7
2012,%,Youth Male,Omusati,,10,46.3
2012,%,Youth,Omusati,,10,46.8
2012,%,Total M,Omusati,,10,28.7
2012,%,,Oshana,,11,24.5
2012,%,Total F,Oshana,,11,23.5
2012,%,Youth Female,Oshana,,11,40.1
2012,%,Youth Male,Oshana,,11,42.1
2012,%,Youth,Oshana,,11,39.8
2012,%,Total M,Oshana,,11,26.1
2012,%,,Oshikoto,,12,26.4
2012,%,Total F,Oshikoto,,12,28.1
2012,%,Youth Female,Oshikoto,,12,48.1
2012,%,Youth Male,Oshikoto,,12,37.9
2012,%,Youth,Oshikoto,,12,43.1
2012,%,Total M,Oshikoto,,12,24.1
2012,%,,Otjozondjupa,,13,25.3
2012,%,Youth Female,Otjozondjupa,,13,44.1
2012,%,Youth Male,Otjozondjupa,,13,20.5
2012,%,Youth,Otjozondjupa,,13,31.9
2012,%,Total F,Otjozondjupa,,13,37.9
2012,%,Total M,Otjozondjupa,,13,15.4
2012,%,,Zambezi,,14,28
2012,%,Youth,Zambezi,,14,39.3
2012,%,Youth Female,Zambezi,,14,43.9
2012,%,Youth Male,Zambezi,,14,30.9
2012,%,Total F,Zambezi,,14,33.5
2012,%,Total M,Zambezi,,14,21.3
2013,%,,,Total,,29.6
2013,%,,, Youth unemployement,,42.4
2013,%,Total Youth Female,,,,47.2
2013,%,Total Youth Male,,,,37.2
2013,%,Total Youth Urban,,,,37.7
2013,%,Total Youth Rural,,,,48.3
2013,%,Total Female Youth Urban,,,,43
2013,%,Total Female Youth Rural,,,,52.9
2013,%,Total Male Youth Urban,,,,32.1
2013,%,Total Male Youth Rural,,,,43.7
2013,%,Total F,,,,33.1
2013,%,Total M,,,,25.8
2013,%,Urban,,,,29.1
2013,%,Rural,,,,30.2
2013,%,,!Karas,,1,21.6
2013,%,Youth Female,!Karas,,1,37.4
2013,%,Youth Male,!Karas,,1,24.9
2013,%,Total F,!Karas,,1,30
2013,%,Youth,!Karas,,1,30
2013,%,Total M,!Karas,,1,21.6
2013,%,,Erongo,,2,23.7
2013,%,Youth Female,Erongo,,2,39.5
2013,%,Youth Male,Erongo,,2,23.7
2013,%,Youth,Erongo,,2,31.9
2013,%,Total F,Erongo,,2,32.4
2013,%,Total M,Erongo,,2,16.3
2013,%,,Hardap,,3,32.2
2013,%,Youth Female,Hardap,,3,53.2
2013,%,Youth Male,Hardap,,3,38.9
2013,%,Youth,Hardap,,3,43.1
2013,%,Total F,Hardap,,3,41.2
2013,%,Total M,Hardap,,3,32.2
2013,%,,Kavango East,,4,35.6
2013,%,Youth Female,Kavango East,,4,54.6
2013,%,Youth Male,Kavango East,,4,55.6
2013,%,Total F,Kavango East,,4,35.3
2013,%,Youth,Kavango East,,4,53.3
2013,%,Total M,Kavango East,,4,35.6
2013,%,,Kavango West,,5,35.6
2013,%,Youth Female,Kavango West,,5,54.6
2013,%,Youth Male,Kavango West,,5,55.6
2013,%,Total F,Kavango West,,5,35.3
2013,%,Total M,Kavango West,,5,35.6
2013,%,Youth,Kavango West,,5,53.3
2013,%,,Khomas,,6,27.7
2013,%,Youth Female,Khomas,,6,41.8
2013,%,Youth Male,Khomas,,6,31
2013,%,Total F,Khomas,,6,32.2
2013,%,Total M,Khomas,,6,23.4
2013,%,Youth,Khomas,,6,36.7
2013,%,,Kunene,,7,39.8
2013,%,Youth Female,Kunene,,7,56.6
2013,%,Youth Male,Kunene,,7,36
2013,%,Total F,Kunene,,7,51.8
2013,%,Youth,Kunene,,7,47.2
2013,%,Total M,Kunene,,7,27.4
2013,%,,Ohangwena,,8,32.7
2013,%,Youth Female,Ohangwena,,8,51.8
2013,%,Youth Male,Ohangwena,,8,63.6
2013,%,Total F,Ohangwena,,8,28.6
2013,%,Total M,Ohangwena,,8,40.1
2013,%,Youth,Ohangwena,,8,54.8
2013,%,,Omaheke,,9,26.1
2013,%,Youth Female,Omaheke,,9,41.8
2013,%,Youth Male,Omaheke,,9,20.1
2013,%,Total F,Omaheke,,9,35.2
2013,%,Youth,Omaheke,,9,28.6
2013,%,Total M,Omaheke,,9,18.4
2013,%,,Omusati,,10,28.8
2013,%,Youth Female,Omusati,,10,52.7
2013,%,Youth Male,Omusati,,10,66.3
2013,%,Total F,Omusati,,10,24.3
2013,%,Youth,Omusati,,10,57.1
2013,%,Total M,Omusati,,10,37.1
2013,%,,Oshana,,11,33.6
2013,%,Youth Female,Oshana,,11,50.1
2013,%,Youth Male,Oshana,,11,45.7
2013,%,Total F,Oshana,,11,33.9
2013,%,Total M,Oshana,,11,33.1
2013,%,Youth,Oshana,,11,47.6
2013,%,,Oshikoto,,12,31.5
2013,%,Youth Female,Oshikoto,,12,46.2
2013,%,Youth Male,Oshikoto,,12,33.8
2013,%,Total F,Oshikoto,,12,34.6
2013,%,Total M,Oshikoto,,12,27.9
2013,%,Youth,Oshikoto,,12,38.6
2013,%,,Otjozondjupa,,13,25.3
2013,%,Youth Female,Otjozondjupa,,13,48
2013,%,Youth Male,Otjozondjupa,,13,22.5
2013,%,Total F,Otjozondjupa,,13,36.7
2013,%,Youth,Otjozondjupa,,13,33.8
2013,%,Total M,Otjozondjupa,,13,16.5
2013,%,,Zambezi,,14,29.5
2013,%,Youth,Zambezi,,14,37.8
2013,%,Youth Female,Zambezi,,14,44.4
2013,%,Youth Male,Zambezi,,14,28.9
2013,%,Total F,Zambezi,,14,35.8
2013,%,Total M,Zambezi,,14,35.8
2014,%,,,Total,,28.1
2014,%,,, Youth unemployement,,39
2014,%,Total Youth Female,,,,44.4
2014,%,Total Youth Male,,,,33.5
2014,%,Total Youth Urban,,,,34.9
2014,%,Total Youth Rural,,,,44.3
2014,%,Total Female Youth Urban,,,,39.7
2014,%,Total Female Youth Rural,,,,50.7
2014,%,Total Male Youth Urban,,,,29.9
2014,%,Total Male Youth Rural,,,,38.1
2014,%,Total F,,,,31.7
2014,%,Total M,,,,24.3
2014,%,Urban,,,,26.2
2014,%,Rural,,,,30.2
2014,%,,!Karas,,1,25
2014,%,Youth Female,!Karas,,1,44.3
2014,%,Youth Male,!Karas,,1,27
2014,%,Total F,!Karas,,1,31.7
2014,%,Youth,!Karas,,1,24.8
2014,%,Total M,!Karas,,1,19.6
2014,%,,Erongo,,2,23.9
2014,%,Youth Female,Erongo,,2,37.5
2014,%,Youth Male,Erongo,,2,24.8
2014,%,Total F,Erongo,,2,31.9
2014,%,Youth,Erongo,,2,24.2
2014,%,Total M,Erongo,,2,18
2014,%,,Hardap,,3,29.7
2014,%,Youth Female,Hardap,,3,48.1
2014,%,Youth Male,Hardap,,3,31
2014,%,Total F,Hardap,,3,39.3
2014,%,Youth,Hardap,,3,29.6
2014,%,Total M,Hardap,,3,21.7
2014,%,,Kavango East,,4,36.3
2014,%,Youth Female,Kavango East,,4,51.5
2014,%,Youth Male,Kavango East,,4,42.1
2014,%,Total F,Kavango East,,4,39.2
2014,%,Youth,Kavango East,,4,42.5
2014,%,Total M,Kavango East,,4,32.4
2014,%,,Kavango West,,5,26.4
