Year,Units,Value
Mio USD,,
2005,Mio USD,
Mio USD,,
2006,Mio USD,
Mio USD,,
2007,Mio USD,
Mio USD,,
2008,Mio USD,
Mio USD,,
2009,Mio USD,
Mio USD,,
2010,Mio USD,
Mio USD,,
2011,Mio USD,
Mio USD,,
2012,Mio USD,
Mio USD,,
2013,Mio USD,
Mio USD,,
2013,Mio USD,
Mio USD,,
2014,Mio USD,
Mio USD,,
2014,Mio USD,
Mio USD,,
2014,Mio USD,
Mio USD,,
2015,Mio USD,
Mio USD,,
2015,Mio USD,
Mio USD,,
2015,Mio USD,
Mio USD,,
2016,Mio USD,
Mio USD,,
2016,Mio USD,
Mio USD,,
2016,Mio USD,
Mio USD,,
2017,Mio USD,
Mio USD,,
