Year,Units,Value
2007,Constant 2010 Prices N$ millions,39430
2008,Constant 2010 Prices N$ millions,37713
2009,Constant 2010 Prices N$ millions,38385
2010,Constant 2010 Prices N$ millions,39447
2011,Constant 2010 Prices N$ millions,38148
2012,Constant 2010 Prices N$ millions,38531
2013,Constant 2010 Prices N$ millions,39610
2014,Constant 2010 Prices N$ millions,39421
2015,Constant 2010 Prices N$ millions,39283
2016,Constant 2010 Prices N$ millions,42305
2017,Constant 2010 Prices N$ millions,37184
